loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,id_count
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,False,0.9869,0.0014184185246644448,0.9766199999999999,0.0009162726425881923,0.97546,0.0009131143289740837,10
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,True,0.9912380000000001,0.0005656422112175605,0.9772399999999999,0.0006040603354706463,0.9751,0.0011075498483890972,10
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,False,0.991898,0.0007743929522177374,0.9767199999999999,0.0008586811592979956,0.97506,0.0006239658110292393,10
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,0,True,0.9841200000000001,0.0009527504045306741,0.97607,0.001094481104856962,0.97485,0.0009180292902613608,10
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,True,0.9841960000000001,0.0005575980232708379,0.97611,0.0010712920547948951,0.97449,0.0009746224340168095,10
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,0,False,0.986438,0.001381832921239837,0.97578,0.0006477310827461924,0.9743299999999999,0.0014575855225527818,10
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,0,True,0.983976,0.0029796315954232744,0.97309,0.0017444833682847805,0.9715,0.002230595336576225,10
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,0,False,0.970372,0.0087110463716415,0.96499,0.005100206967477977,0.9620900000000001,0.006081017824162115,10
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2,False,0.924282,0.0021649829355242347,0.933,0.002843706501498826,0.9272499999999999,0.0026912409364042147,10
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2,False,0.923516,0.0017295291587918265,0.9324,0.0024630604269215138,0.92627,0.002576841304991629,10
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2,True,0.867798,0.00476814848762074,0.88742,0.004835700569721006,0.87844,0.004510038186583853,10
"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2,True,0.867254,0.004283187286744906,0.8869199999999999,0.004411550495888917,0.8780300000000001,0.004506304226056838,10
