loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,id_count
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,256,False?,0.6372486512996567,0.016489719021344384,0.6463339222614841,0.019289138917369685,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,128,False?,0.6412089259440903,0.022259854112407454,0.6460247349823321,0.014912214340964422,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,2.0,none,256,False?,0.6378862187346739,0.021421591131417894,0.6451855123674911,0.011866664764522368,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,2.0,none,128,False?,0.6285679254536538,0.019976066110058595,0.6413869257950531,0.017927820779406082,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,2.0,cosine,256,False?,0.6356302108876901,0.025148376667941424,0.641077738515901,0.020616901764782532,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,2.0,decay,256,False?,0.6363903874448259,0.02316697478827485,0.6382950530035336,0.021740992809748578,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,cosine,256,False?,0.6273173124080431,0.035849010067967965,0.6374116607773852,0.016216190369465266,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,cosine,128,False?,0.6349558607160373,0.011795715507312265,0.6352473498233215,0.011264549914696154,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,2.0,cosine,128,False?,0.6344163805787151,0.015629235515647214,0.6350265017667844,0.014265637242204943,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,2.0,decay,128,False?,0.6192741539970574,0.016679227514367404,0.6238515901060071,0.015056878532266168,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,decay,128,False?,0.575367827366356,0.01565091556407321,0.5999558303886926,0.018667779922465846,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,decay,256,False?,0.5859367336929868,0.01626906473736912,0.5950530035335688,0.019655118598479644,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,cosine,0,False?,0.5039725355566455,0.048347955214016754,0.5486307420494699,0.019716398443848822,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,decay,0,False?,0.5449852869053458,0.020345353292344007,0.5382508833922262,0.014344662613391415,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,2.0,decay,0,False?,0.5052476704266797,0.05437793432715104,0.5066696113074205,0.046194482961305613,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,0,False?,0.37476704266797445,0.017844127986171174,0.5050795053003533,0.01996854017643135,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,2.0,cosine,0,False?,0.4398479646885728,0.041646781284322074,0.4621466431095406,0.0423593762540954,10
"('random', [-1, 2])",128,16,16,8,16,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,2.0,none,0,False?,0.2301373222167729,0.027138224294720615,0.3288427561837456,0.03650953780393716,10
